doc,tags
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약 필수"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약 필수"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"어머니와 의료 상담

보호조치 요청
상담 녹음 안내
진료 예약 및 문의","보호조치,상담녹음,진료예약"
"친구와 여행 계획

여름 휴가 계획
해외 여행지 추천
숙소 예약 방법","여름휴가,해외여행,숙소예약"
"상사와 업무 상담

프로젝트 진행 상황 보고
문제점 해결 방안 논의","프로젝트진행,문제해결"
"광고 전화

신용카드 혜택 안내
신규 가입 이벤트 안내","신용카드혜택,신규가입이벤트"
"부동산 중개사와 상담

매물 정보 확인
방문 일정 조율
가격 협상","매물정보,방문일정,가격협상"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"회사에서의 업무통화

프로젝트 진행 상황 보고
회의 일정 조율
업무 분담","프로젝트,회의,업무분담"
"주말 여행 계획

여행지 추천
숙소 예약
교통편 예약","여행,숙소,교통편"
"신제품 출시 관련 회의

제품 기능 설명
마케팅 전략 논의
출시 일정 조율","제품,마케팅,출시일정"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3","건강검진,의료보험,약국"
"회사 회의

매출 현황 보고
신규 프로젝트 계획
인사 이슈 논의","매출,프로젝트,인사"
"영화 예매

영화 제목: 어벤져스
상영 시간: 4월 1일 오후 3시
예매 인원: 2명","영화,예매,상영 시간"
"어머니와 방문 계획 논의

어머니와 함께 방문 일정 조율","방문 계획,조율"
"어머니와 방문 계획 논의

어머니와 함께 방문 일정 조율","방문 계획,조율"
"어머니와 방문 계획 논의

어머니와 함께 방문 일정 조율","방문 계획,조율"
"어머니와 방문 계획 논의

어머니와 함께 방문 일정 조율","방문 계획,조율"
"어머니와 방문 계획 논의

어머니와 함께 방문 일정 조율","방문 계획,조율"
"어머니와 가족 뉴스 공유

어머니와 가족들과 최근 뉴스에 대해 이야기함","뉴스,가족"
"어머니와 가족 건강 이야기

어머니와 가족들과 건강에 대해 이야기함","건강,병원 방문"
"어머니와 가족 가계부 이야기

어머니와 가족들과 가계부 관리에 대해 이야기함","가계부,저축 계획"
"어머니와 가족 여행 계획 이야기

어머니와 가족들과 여행 계획에 대해 이야기함","여행,숙소 예약"
"어머니와 가족 생일 선물 이야기

어머니와 가족들의 생일 선물에 대해 이야기함",생일 선물
"고객 보호조치 요청 및 진료 예약 상담

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"압구정 로데오에서의 저녁약속

압구정 로데오
사주카페
금요일 저녁","사주카페,5만원,예약 필수"
"친구와 주말 계획 논의

영등포 CGV
주말 영화
저녁 식사
카페","영화 예매,식당 예약,카페 예약"
"상담 전화

상담 내용 1","상담 내용 1,상담 내용 2"
"주말 여행 계획

여행지 선정
숙소 예약
관광지 예약","여행지 선정,숙소 예약,관광지 예약,식당 예약,교통 수단 예약"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"친구와 영화 관람

어벤져스: 엔드게임
CGV 강남점
토요일 오후 3시","어벤져스: 엔드게임,CGV 강남점,영화 예매"
"주식 투자 관련 상담

주식 종목 추천
시장 전망 분석
투자 전략 조언","주식 종목 추천,시장 전망 분석,투자 전략 조언"
"영어 회화 학습 상담

회화 학습 방법
영어 발음 교정
단어 외우기 팁","회화 학습 방법,영어 발음 교정,단어 외우기 팁"
"고객 보호조치 요청 및 진료 예약 문의

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,진료 예약"
"압구정 로데오에서의 저녁약속

압구정 로데오
사주카페
금요일 저녁","사주카페,5만원,예약 필수"
"친구1과 영화 추천

최근 본 영화 추천
영화관 추천","영화 추천,영화관 추천"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3",상담 내용
"상담 전화에서의 다양한 대화

상담 내용 4
상담 내용 5
상담 내용 6",상담 내용
"고객 보호조치 요청 및 진료 예약 문의

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"압구정 로데오에서의 저녁약속

압구정 로데오
사주카페
금요일 저녁","사주카페,5만원,예약 필수"
"친구1과 음식점 추천에 대한 통화

친구1: 이번 주말에 뭐 먹을까?
Owner: 음식점 추천 좀 해줘
친구1: 어떤 거 먹고 싶어?
Owner: 이번에는 한식이나 중식이 좋을 것 같아
친구1: 그럼 한식으로 가자. 어디가 좋을까?
Owner: 근처에 있는 한식집 중에 맛있는 곳이 있었는데 기억이 안 나네. 찾아볼게","음식점 추천,한식,중식"
"친구1과 음식점 추천에 대한 통화

친구1: 그럼 어디가 좋을까?
Owner: 아까 찾아본 건 어디였지? 검색해볼게
친구1: 그래. 찾아보고 알려줘","음식점 추천,한식"
"친구1과 음식점 추천에 대한 통화

Owner: 이거 어때? [한식집 이름]이라는 곳이 맛있어 보이는데
친구1: 그럼 거기로 가자","음식점 추천,한식"
"고객 보호조치 요청 및 진료 예약 상담

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"운동 계획 상담

운동 계획 변경
운동 시간 변경
운동 종목 변경","운동 계획,운동 시간,운동 종목"
"운동 계획 상담

운동 계획 변경
운동 시간 변경
운동 종목 변경","운동 계획,운동 시간,운동 종목"
"운동 계획 상담

운동 계획 변경
운동 시간 변경
운동 종목 변경","운동 계획,운동 시간,운동 종목"
"운동 계획 상담

운동 계획 변경
운동 시간 변경
운동 종목 변경","운동 계획,운동 시간,운동 종목"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"친구2와 쇼핑 팁 공유

쇼핑몰 추천
할인 이벤트 정보 공유
쇼핑 후기 공유","쇼핑몰,할인,후기"
"영어 회화 수업

인사말
일상 대화
영화 대화
직장 생활 대화","영어,회화,일상 대화"
"여행 계획 상의

여행 일정 논의
숙소 예약 방법
관광지 추천","여행,일정,숙소,관광지"
"피트니스 클래스 예약

친구2와 피트니스 클래스 예약에 대해 상의","피트니스 클래스,예약"
"피트니스 클래스 예약

친구2와 피트니스 클래스 예약에 대해 상의","피트니스 클래스,예약"
"피트니스 클래스 예약

친구2와 피트니스 클래스 예약에 대해 상의","피트니스 클래스,예약"
"피트니스 클래스 예약

친구2와 피트니스 클래스 예약에 대해 상의","피트니스 클래스,예약"
"피트니스 클래스 예약

친구2와 피트니스 클래스 예약에 대해 상의","피트니스 클래스,예약"
"고객 보호조치 요청 및 진료 예약 문의

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"압구정 로데오에서의 저녁약속

압구정 로데오
사주카페
금요일 저녁","사주카페,5만원,예약 필수"
"친구2와 홈 파티 계획

음식 준비
음료 준비
장소 예약","음식 준비,음료 준비,장소 예약"
"친구2와 홈 파티 계획

음식 준비
음료 준비
장소 예약","음식 준비,음료 준비,장소 예약,구매 방법"
"친구2와 홈 파티 계획

음식 준비
음료 준비
장소 예약","음식 준비,음료 준비,장소 예약,구매 방법,초대장 발송"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"친구와 레시피 공유

오늘 뭐 먹지?
친구2: 나 오늘 파스타 만들어봤어. 근데 소스가 좀 짜다고 느껴져서 뭔가 더 넣어야할 것 같아.
나: 그러면 양파랑 마늘을 넣어보는 건 어때?
친구2: 그거 좋은데! 그럼 양파랑 마늘을 어떻게 넣어야할까?
나: 양파랑 마늘을 다져서 팬에 볶으면 좋을 것 같아.
친구2: 알겠어! 그럼 그렇게 해봐야겠다.","레시피,파스타,양파,마늘"
"주식 투자 상담

고객: 이번에 살까 말까 고민되는 주식이 있는데, 어떻게 생각하세요?
상담원: 그 주식은 현재 상황에서는 추천하지 않습니다. 대신 이 주식은 어떠세요?
고객: 그 주식은 어떤 이유로 추천하시는 건가요?
상담원: 이 주식은 최근에 좋은 실적을 내고 있고, 장기적으로도 성장 가능성이 높은 기업입니다.","주식,투자,실적,성장 가능성"
"영어 회화 수업

선생님: 오늘은 어떤 주제로 대화를 해볼까요?
학생: 저는 여행에 대해서 얘기해보고 싶어요.
선생님: 좋아요. 여행 중 가장 기억에 남는 경험은 무엇인가요?
학생: 제가 가장 좋아하는 나라인 일본에서 친구들과 함께 도쿄 디즈니랜드에 갔을 때입니다. 그곳에서 놀이기구를 타면서 즐거운 시간을 보냈어요.
선생님: 그런데 일본에서는 놀이기구가 많이 무섭지 않나요?
학생: 그렇게 생각했는데, 실제로 타보니까 그렇게 무서운 것도 아니었어요.","여행,일본,도쿄 디즈니랜드,놀이기구"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"친구와 직장 상담

직장 상담 내용",직장 상담
"광고 전화

상품 소개",상품 소개
"사용 설명서 문의

제품 사용 방법 문의",제품 사용 방법
"고객 보호조치 요청 및 진료 예약 상담

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"압구정 로데오에서의 친구와 저녁약속

압구정 로데오
사주카페
금요일 저녁","사주카페,5만원,예약 필수"
"취미 클래스 논의

어떤 클래스가 좋을지
가격 비교
시간 조율","취미 클래스,가격 비교,시간 조율"
"상담 전화

상담 내용",상담 내용
"주말 계획

어디로 갈지
무엇을 할지
언제 가는지","주말 계획,여행,활동"
"치과 예약 및 상담

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"회사 업무 상담

프로젝트 진행 상황 보고
다음 회의 일정 조율
업무 분담","프로젝트 진행,회의 일정,업무 분담"
"여행 계획 상담

여행 일정 조율
숙소 예약
관광지 추천","여행 일정,숙소 예약,관광지 추천"
"식당 예약

저녁 7시 예약
2명",식당 예약
"서울대학교 치과병원 상담

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"친구와 학교 행사 논의

학교 행사 일정
참석 인원
의상 준비","학교 행사,참석 인원,의상 준비"
"은행 대출 상담

대출 상환 방법
이자율
대출 한도","대출 상환,이자율,대출 한도"
"부동산 중개인과의 상담

매물 정보
가격 협상
계약서 작성","매물 정보,가격 협상,계약서 작성"
"고객 보호조치 요청 및 진료 예약 문의

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약"
"압구정 로데오에서의 친구와 저녁약속

압구정 로데오
사주카페
금요일 저녁","사주카페,5만원,예약 필수"
"친구3와 인턴십 논의

인턴십 기간
인턴십 업무
인턴십 보상","인턴십 기간,인턴십 업무,인턴십 보상"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3","상담 내용 1,상담 내용 2,상담 내용 3"
"상담 전화에서의 다양한 대화

상담 내용 4
상담 내용 5
상담 내용 6","상담 내용 4,상담 내용 5,상담 내용 6"
"친구3와 장학금 정보 공유

친구3와 장학금 정보 공유","장학금,정보공유"
"친구3와 대학원 지원서 작성

친구3와 대학원 지원서 작성","대학원,지원서"
"친구3와 대학원 입시 정보 공유

친구3와 대학원 입시 정보 공유","대학원,입시,정보공유"
"친구3와 대학원 면접 준비

친구3와 대학원 면접 준비","대학원,면접,준비"
"친구3와 대학원 합격 소식

친구3와 대학원 합격 소식","대학원,합격,소식"
"상사1과 미팅 계획

미팅 일정 조율","미팅 일정,미팅 장소,미팅 참석자"
"상사1과 미팅 계획

미팅 일정 조율","미팅 일정,미팅 장소,미팅 참석자"
"상사1과 미팅 계획

미팅 일정 조율","미팅 일정,미팅 장소,미팅 참석자"
"상사1과 미팅 계획

미팅 일정 조율","미팅 일정,미팅 장소,미팅 참석자"
"상사1과 미팅 계획

미팅 일정 조율","미팅 일정,미팅 장소,미팅 참석자"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"회사 업무 지시

오늘 회의록 작성
내일 발표 자료 제작
다음 주 프로젝트 계획 수립","회의록 작성,발표 자료 제작,프로젝트 계획 수립"
"광고 전화

저희 회사의 새로운 상품 소개입니다.
특별한 혜택이 준비되어 있으니 꼭 확인해주세요.","새로운 상품 소개,특별한 혜택"
"부서간 협업 회의

프로젝트 진행 상황 보고
다음 단계 계획 수립
문제점 해결 방안 논의","프로젝트 진행 상황 보고,다음 단계 계획 수립,문제점 해결 방안 논의"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"상사1과 프로젝트 논의

프로젝트 일정 조율
진행 상황 보고
다음 회의 일정 조정","프로젝트 일정,진행 상황,회의 일정"
"여행 계획

여행 일정 조율
숙소 예약
관광지 추천","여행 일정,숙소 예약,관광지 추천"
"식당 예약

식당 예약
메뉴 추천
결제 방법","식당 예약,메뉴 추천,결제 방법"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"상사1과의 피드백 수신

프로젝트 진행 상황 보고
의견 수렴 및 피드백","프로젝트 진행,의견 수렴,피드백"
"영어회화 스터디 모임

스터디 일정 조율
참여 인원 확인","영어회화,스터디,일정 조율"
"운동 동호회 가입 문의

가입 조건 및 혜택 문의
운동 종목 안내","운동 동호회,가입 조건,혜택"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"상사와의 회의

팀 빌딩 활동 계획
프로젝트 진행 상황
업무 분담","팀 빌딩,프로젝트 진행,업무 분담"
"영어 회화 수업

과제 제출 기한
발음 연습
단어 암기","과제,발음 연습,단어 암기"
"부동산 중개사와의 상담

매물 정보
가격 협상
계약서 작성","매물 정보,가격 협상,계약서 작성"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수"
"상사와 업무 관련 문제 해결

상사: 이번 달 목표 달성이 어려울 것 같은데 어떻게 생각해?
나: 이번 달에는 이전보다 많은 걸 해내야 하는데, 이전에는 이렇게 하면서 성과를 냈었는데 이번에도 이렇게 해보는 건 어떨까요?
상사: 그럼 그렇게 해보자. 그리고 이번 주 금요일까지 보고서를 제출해줘.
나: 알겠습니다.","목표달성,보고서제출"
"상사와 업무 관련 회의

상사: 이번 주에는 이 프로젝트를 마무리해야 하는데, 현재 진행 상황은 어떤가요?
나: 현재까지는 예정대로 진행 중이며, 다음 주까지는 마무리할 수 있을 것 같습니다.
상사: 그렇다면 다음 주 월요일까지 보고서를 제출해줘.
나: 알겠습니다.","프로젝트진행,보고서제출"
