doc,tags,eng_doc,eng_tags
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약","Various conversations on the counseling phone

Request for customer protection measures
Counseling recording guidance
Reservation and inquiry for medical treatment","Customer protection measures, counseling recording, medical reservation"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약 필수","Dinner with friends

Apgujeong Rodeo
Saju Cafe
Friday evening","Saju Cafe, 50,000 won, reservation required"
"어머니와 의료 상담

보호조치 요청
상담 녹음 안내
진료 예약 및 문의","보호조치,상담녹음,진료예약","Medical consultation with mother

Request for protective measures
Counseling recording guidance
Reservation and inquiry for medical treatment","Protective measures, counseling recording, medical reservation"
"친구와 여행 계획

여름 휴가 계획
해외 여행지 추천
숙소 예약 방법","여름휴가,해외여행,숙소예약","Travel plans with friends

Summer vacation plans
Recommend overseas destinations
How to book accommodation","Summer vacation, overseas travel, accommodation reservation"
"상사와 업무 상담

프로젝트 진행 상황 보고
문제점 해결 방안 논의","프로젝트진행,문제해결","Business consultation with the boss

Report on the progress of the project
Discuss solutions to problems","Project progress, problem solving"
"광고 전화

신용카드 혜택 안내
신규 가입 이벤트 안내","신용카드혜택,신규가입이벤트","Advertisement call

Credit card benefits information
New membership event information","Credit card benefits, new membership event"
"부동산 중개사와 상담

매물 정보 확인
방문 일정 조율
가격 협상","매물정보,방문일정,가격협상","Consultation with a real estate agent

Checking property information
Adjusting visit schedule
Price negotiation","Property information, visit schedule, price negotiation"
"상담 전화에서의 다양한 대화

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","산업안전보건법,상담녹음,진료예약","Various conversations on the counseling phone

Request for customer protection measures
Counseling recording guidance
Medical appointment and inquiry","Industrial Safety and Health Act, Counseling Recording, Medical Appointment"
"친구와 저녁약속

압구정 로데오
사주카페
금요일저녁","사주카페,5만원,예약필수","Dinner with friends

Apgujeong Rodeo
Saju Cafe
Friday evening","Saju Cafe, 50,000 won, reservation required"
"회사에서의 업무통화

프로젝트 진행 상황 보고
회의 일정 조율
업무 분담","프로젝트,회의,업무분담","Business calls at the company

Report on the progress of the project
Adjust the meeting schedule
Division of work","Project, meeting, division of work"
"주말 여행 계획

여행지 추천
숙소 예약
교통편 예약","여행,숙소,교통편","Weekend trip plan

Recommendation of travel destination
Reservation of accommodation
Reservation of transportation","Travel, accommodation, transportation"
"신제품 출시 관련 회의

제품 기능 설명
마케팅 전략 논의
출시 일정 조율","제품,마케팅,출시일정","Meeting related to new product launch

Product feature explanation
Discussion of marketing strategy
Adjustment of launch schedule","Product, marketing, launch schedule"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3","건강검진,의료보험,약국","Various conversations on the counseling phone

Counseling Content 1
Counseling Content 2
Counseling Content 3","Health checkup, medical insurance, pharmacy"
"회사 회의

매출 현황 보고
신규 프로젝트 계획
인사 이슈 논의","매출,프로젝트,인사","Company meeting

Report on sales status
New project plan
Discussion of personnel issues","Sales, project, personnel"
"영화 예매

영화 제목: 어벤져스
상영 시간: 4월 1일 오후 3시
예매 인원: 2명","영화,예매,상영 시간","Movie reservation

Movie title: Avengers
Screening time: April 1st, 3pm
Number of reservations: 2 people","Movie, reservation, screening time"
"어머니와 방문 계획 논의

어머니와 함께 방문 일정 조율","방문 계획,조율","Discussing a visit plan with mother

Adjusting the visit schedule with mother","Visit plan, adjustment"
"어머니와 가족 뉴스 공유

어머니와 가족들과 최근 뉴스에 대해 이야기함","뉴스,가족","Sharing news with mother and family

Talking to mother and family about recent news","News, family"
"어머니와 가족 건강 이야기

어머니와 가족들과 건강에 대해 이야기함","건강,병원 방문","Talking about mother and family health

Talking with mother and family about health","Health, hospital visit"
"어머니와 가족 가계부 이야기

어머니와 가족들과 가계부 관리에 대해 이야기함","가계부,저축 계획","Talking about Mom and Family Budget

Talking with Mom and family about budget management","Budget, savings plan"
"어머니와 가족 여행 계획 이야기

어머니와 가족들과 여행 계획에 대해 이야기함","여행,숙소 예약","Talking about mother and family travel plans

Talking about travel plans with mother and family","Travel, accommodation reservation"
"어머니와 가족 생일 선물 이야기

어머니와 가족들의 생일 선물에 대해 이야기함",생일 선물,"Talking about Mother and Family Birthday Gifts

Talking about the birthday gifts for mother and family",Birthday gifts
"고객 보호조치 요청 및 진료 예약 상담

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약","Request for customer protection measures and consultation for medical appointment

Request for customer protection measures
Guidance for consultation recording
Medical appointment and inquiry","Customer protection measures, consultation recording, medical appointment"
"압구정 로데오에서의 저녁약속

압구정 로데오
사주카페
금요일 저녁","사주카페,5만원,예약 필수","Dinner appointment at Apgujeong Rodeo

Apgujeong Rodeo
Saju Cafe
Friday evening","Saju Cafe, 50,000 won, reservation required"
"친구와 주말 계획 논의

영등포 CGV
주말 영화
저녁 식사
카페","영화 예매,식당 예약,카페 예약","Discussing weekend plans with friends

Yeongdeungpo CGV
Weekend movie
Evening meal
Cafe","Movie reservation, restaurant reservation, cafe reservation"
"상담 전화

상담 내용 1","상담 내용 1,상담 내용 2","Counseling call

Counseling content 1","Counseling content 1, Counseling content 2"
"주말 여행 계획

여행지 선정
숙소 예약
관광지 예약","여행지 선정,숙소 예약,관광지 예약,식당 예약,교통 수단 예약","Weekend trip plan

Selecting a destination
Booking accommodation
Booking tourist attractions","Selecting a destination, booking accommodation, booking tourist attractions, booking restaurants, booking transportation"
"친구와 영화 관람

어벤져스: 엔드게임
CGV 강남점
토요일 오후 3시","어벤져스: 엔드게임,CGV 강남점,영화 예매","Watching a movie with friends

Avengers: Endgame
CGV Gangnam Branch
Saturday afternoon 3 o'clock","Avengers: Endgame, CGV Gangnam Branch, movie reservation"
"주식 투자 관련 상담

주식 종목 추천
시장 전망 분석
투자 전략 조언","주식 종목 추천,시장 전망 분석,투자 전략 조언","Stock Investment Consultation

Stock item recommendation
Market outlook analysis
Investment strategy advice","Stock item recommendation, market outlook analysis, investment strategy advice"
"영어 회화 학습 상담

회화 학습 방법
영어 발음 교정
단어 외우기 팁","회화 학습 방법,영어 발음 교정,단어 외우기 팁","English Conversation Learning Consultation

Conversation Learning Method
English Pronunciation Correction
Tips for Memorizing Words","Conversation Learning Method, English Pronunciation Correction, Tips for Memorizing Words"
"고객 보호조치 요청 및 진료 예약 문의

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,진료 예약","Request for customer protection measures and inquiries about medical appointments

Request for customer protection measures
Guidance on recording consultation
Medical appointment and inquiry","Customer protection measures, medical appointment"
"친구1과 영화 추천

최근 본 영화 추천
영화관 추천","영화 추천,영화관 추천","Recommend a movie to Friend 1

Recommend a recently watched movie
Recommend a movie theater","Movie recommendation, movie theater recommendation"
"상담 전화에서의 다양한 대화

상담 내용 1
상담 내용 2
상담 내용 3",상담 내용,"Various conversations on the counseling phone

Counseling Content 1
Counseling Content 2
Counseling Content 3",Counseling Content
"상담 전화에서의 다양한 대화

상담 내용 4
상담 내용 5
상담 내용 6",상담 내용,"Various conversations on the counseling phone

Counseling Content 4
Counseling Content 5
Counseling Content 6",Counseling Content
"고객 보호조치 요청 및 진료 예약 문의

고객 보호조치 요청
상담 녹음 안내
진료 예약 및 문의","고객 보호조치,상담 녹음,진료 예약","Request for customer protection measures and inquiries about medical appointments

Request for customer protection measures
Guidance on recording counseling
Medical appointment and inquiry","Customer protection measures, counseling recording, medical appointment"
"친구1과 음식점 추천에 대한 통화

친구1: 이번 주말에 뭐 먹을까?
Owner: 음식점 추천 좀 해줘
친구1: 어떤 거 먹고 싶어?
Owner: 이번에는 한식이나 중식이 좋을 것 같아
친구1: 그럼 한식으로 가자. 어디가 좋을까?
Owner: 근처에 있는 한식집 중에 맛있는 곳이 있었는데 기억이 안 나네. 찾아볼게","음식점 추천,한식,중식","Conversation about restaurant recommendation with Friend 1

Friend 1: What should we eat this weekend?
Owner: Can you recommend a restaurant?
Friend 1: What do you want to eat?
Owner: I think Korean or Chinese food would be good this time.
Friend 1: Let's go for Korean food. Where's good?
Owner: There was a delicious Korean restaurant near here, but I can't remember. Let me find it.","Restaurant recommendation, Korean food, Chinese food"
"친구1과 음식점 추천에 대한 통화

친구1: 그럼 어디가 좋을까?
Owner: 아까 찾아본 건 어디였지? 검색해볼게
친구1: 그래. 찾아보고 알려줘","음식점 추천,한식","Conversation about restaurant recommendation with Friend 1

Friend 1: So where would be good?
Owner: Where did we look before? Let me search.
Friend 1: Yeah. Look it up and let me know.","Restaurant recommendation, Korean food"
"친구1과 음식점 추천에 대한 통화

Owner: 이거 어때? [한식집 이름]이라는 곳이 맛있어 보이는데
친구1: 그럼 거기로 가자","음식점 추천,한식","Conversation with Friend 1 about restaurant recommendation

Owner: How about this place? [Korean restaurant name] looks delicious
Friend 1: Then let's go there","Restaurant recommendation, Korean food"
"운동 계획 상담

운동 계획 변경
운동 시간 변경
운동 종목 변경","운동 계획,운동 시간,운동 종목","Exercise plan consultation

Change exercise plan
Change exercise time
Change exercise type","Exercise plan, exercise time, exercise type"
"친구2와 쇼핑 팁 공유

쇼핑몰 추천
할인 이벤트 정보 공유
쇼핑 후기 공유","쇼핑몰,할인,후기","Sharing shopping tips with Friend 2

Shopping mall recommendation
Sharing discount event information
Sharing shopping reviews","Shopping mall, discount, reviews"
"영어 회화 수업

인사말
일상 대화
영화 대화
직장 생활 대화","영어,회화,일상 대화","English Conversation Class

Greetings
Daily Conversation
Movie Conversation
Workplace Conversation","English, Conversation, Daily Conversation"
"여행 계획 상의

여행 일정 논의
숙소 예약 방법
관광지 추천","여행,일정,숙소,관광지","Discussing travel plans

Discussing travel schedule
How to book accommodation
Recommend tourist attractions","Travel, schedule, accommodation, tourist attractions"
"피트니스 클래스 예약

친구2와 피트니스 클래스 예약에 대해 상의","피트니스 클래스,예약","Booking a fitness class

Discussing about booking a fitness class with two friends","Fitness class, reservation"
"친구2와 홈 파티 계획

음식 준비
음료 준비
장소 예약","음식 준비,음료 준비,장소 예약","Plan a home party with two friends

Prepare food
Prepare drinks
Reserve a place","Prepare food, prepare drinks, reserve a place"
"친구2와 홈 파티 계획

음식 준비
음료 준비
장소 예약","음식 준비,음료 준비,장소 예약,구매 방법","Plan a home party with two friends

Food preparation
Drink preparation
Reserve a place","Food preparation, Drink preparation, Place reservation, Purchase method"
"친구2와 홈 파티 계획

음식 준비
음료 준비
장소 예약","음식 준비,음료 준비,장소 예약,구매 방법,초대장 발송","Plan a home party with two friends

Food preparation
Beverage preparation
Reserve a place","Food preparation, Beverage preparation, Place reservation, Purchase method, Invitation card delivery"
"친구와 레시피 공유

오늘 뭐 먹지?
친구2: 나 오늘 파스타 만들어봤어. 근데 소스가 좀 짜다고 느껴져서 뭔가 더 넣어야할 것 같아.
나: 그러면 양파랑 마늘을 넣어보는 건 어때?
친구2: 그거 좋은데! 그럼 양파랑 마늘을 어떻게 넣어야할까?
나: 양파랑 마늘을 다져서 팬에 볶으면 좋을 것 같아.
친구2: 알겠어! 그럼 그렇게 해봐야겠다.","레시피,파스타,양파,마늘","Sharing recipes with friends

What should we eat today?
Friend 2: I tried making pasta today. But I feel like the sauce is a bit bland, so I think something else should be added.
Me: How about adding some onion and garlic?
Friend 2: That sounds good! How should we add the onion and garlic?
Me: I think it would be good to sauté the onion and garlic in a pan.
Friend 2: Got it! Then I guess I'll have to do it that way.","Recipe, pasta, onion, garlic"
"주식 투자 상담

고객: 이번에 살까 말까 고민되는 주식이 있는데, 어떻게 생각하세요?
상담원: 그 주식은 현재 상황에서는 추천하지 않습니다. 대신 이 주식은 어떠세요?
고객: 그 주식은 어떤 이유로 추천하시는 건가요?
상담원: 이 주식은 최근에 좋은 실적을 내고 있고, 장기적으로도 성장 가능성이 높은 기업입니다.","주식,투자,실적,성장 가능성","Stock Investment Consultation

Customer: I'm considering buying a stock that I'm having trouble deciding on, what do you think?
Counselor: We do not recommend that stock in its current situation. How about this stock instead?
Customer: What are the reasons for recommending this stock?
Counselor: This stock has been performing well recently and has high growth potential in the long run.","Stock, Investment, Performance, Growth Potential"
